binchicken_dir	coassembly	assembler	walltime	cpu_time	mean_load	max_rss	max_vms	samples	length	total_targets	total_size	recover_samples
results/aviary/target/20230619/p__Goldbacteria	coassembly_7	metaspades	45381.574	16.76	3625.22	290301.77	291501.65	SRR12676971,SRR5204459	2	23	20245000000.0	SRR12676967,SRR12676969,SRR12676970,SRR12676971,SRR5204458,SRR5204459,SRR5260501,SRR5260556,SRR5260596,SRR7053308,SRR7053533,SRR7053535,SRR7053536,SRR7053538,SRR7053539,SRR7053541,SRR8517159,SRR8517160,SRR8517161,SRR8517162
results/aviary/target/20230619/p__Goldbacteria	coassembly_3	metaspades	20246.3085	644532.22	4003.86	255404.98	255915.59	SRR7798777,SRR7800900	2	90	5038000000.0	SRR5947240,SRR7067822,SRR7798769,SRR7798771,SRR7798776,SRR7798777,SRR7799242,SRR7800382,SRR7800386,SRR7800746,SRR7800749,SRR7800751,SRR7800757,SRR7800760,SRR7800891,SRR7800900,SRR7800901,SRR7800910,SRR7800926,SRR7975439
results/aviary/target/20230619/p__Goldbacteria	coassembly_8	megahit	31115.6297	11.3	9481.5	19069.08	31731.31	SRR8581213,SRR8581214	2	20	29828000000.0	SRR12969846,SRR12976788,SRR12977061,SRR12989705,SRR12997672,SRR12997673,SRR16606022,SRR5580902,SRR8581213,SRR8581214
results/aviary/target/20230619/p__Thermosulfidibacterota	coassembly_0	metaspades	35439.3454	476707.59	3957.51	206459.92	206897.13	SRR14424468,SRR14424469	2	26	24553000000.0	DRR082460,SRR14424468,SRR14424469
results/aviary/target/20230619/p__Thermosulfidibacterota	coassembly_2	metaspades	44391.1224	306811.0	3839.57	114753.62	115802.27	SRR7968107,SRR7968109	2	23	34652000000.0	SRR5214304,SRR6301444,SRR6301445,SRR6301447,SRR6478753,SRR6478754,SRR6478866,SRR6479061,SRR6823441,SRR7051055,SRR7051056,SRR7051058,SRR7051180,SRR7051181,SRR7517633,SRR7517634,SRR7968106,SRR7968107,SRR7968109,SRR7968125
results/aviary/target/20230619/p__UBP17	coassembly_3	metaspades	20627.7408	10.46	3532.07	90230.7	93265.88	SRR12939188,SRR8437210	2	20	18300000000.0	SRR12939088,SRR12939116,SRR12939188,SRR12939239,SRR12939241,SRR12939243,SRR12939245,SRR12949700,SRR3719565,SRR3724508,SRR3725726,SRR398263,SRR7265439,SRR7265440,SRR7265442,SRR8437209,SRR8437210,SRR8437212,SRR8437213,SRR8437214
results/aviary/target/20230619/p__Abyssobacteria	coassembly_1	metaspades	29364.455	12.13	3599.82	173472.0	174799.24	SRR7048218,SRR7048226	2	22	24571000000.0	SRR11241200,SRR14699966,SRR14699972,SRR14699978,SRR14699980,SRR14699982,SRR14699983,SRR14699986,SRR6963352,SRR6963480,SRR6963587,SRR6963591,SRR7048218,SRR7048219,SRR7048220,SRR7048223,SRR7048224,SRR7048226,SRR7048227,SRR7615342
results/aviary/target/20230619/p__Desulfobacterota_C	coassembly_1	metaspades	10169.3815	309781.21	4000.41	143126.58	143547.19	SRR7067318,SRR7067327	2	68	2735000000.0	ERR2431945,SRR10267046,SRR10375097,SRR11548471,SRR11548473,SRR11548474,SRR11567487,SRR13153492,SRR14699977,SRR14699981,SRR6514274,SRR7067318,SRR7067327,SRR7614715,SRR8157148,SRR8443422,SRR8616221,SRR8616222,SRR9045812,SRR9045818
results/aviary/target/20230619/p__Moduliflexota	coassembly_6	metaspades	87193.8805	21.46	2204.26	270362.15	272398.77	ERR1878617,ERR2407577	2	21	44043000000.0	ERR1878606,ERR1878617,ERR2407577,ERR2407578,ERR2437276,ERR2437277,SRR13334647,SRR13334648,SRR13334649,SRR13334650,SRR6963352,SRR7048221,SRR7048223,SRR7048224,SRR7048225
results/aviary/target/20230619/p__Moduliflexota	coassembly_5	metaspades	68523.2803	28.78	3727.46	318733.18	320393.7	ERR4682373,ERR4682852	2	28	25550000000.0	ERR2607520,ERR4678606,ERR4678614,ERR4678643,ERR4678644,ERR4678666,ERR4678680,ERR4682371,ERR4682373,ERR4682381,ERR4682387,ERR4682388,ERR4682390,ERR4682790,ERR4682835,ERR4682836,ERR4682849,ERR4682851,ERR4682852,ERR4682895
results/aviary/target/20230619/p__Moduliflexota	coassembly_1	metaspades	45561.1832	19.76	3343.57	210269.42	214484.62	ERR4678643,ERR4682387	2	35	25473000000.0	ERR2607520,ERR4678606,ERR4678614,ERR4678643,ERR4678644,ERR4678666,ERR4678680,ERR4682371,ERR4682373,ERR4682381,ERR4682387,ERR4682388,ERR4682390,ERR4682790,ERR4682835,ERR4682836,ERR4682849,ERR4682851,ERR4682852,ERR4682895
results/aviary/target/20230619/p__Moduliflexota	coassembly_4	metaspades	29536.7086	9.48	3576.8	181828.59	184334.98	SRR13334649,SRR13334650	2	30	15174000000.0	ERR1878606,ERR1878617,ERR2407577,ERR2407578,ERR2437276,ERR2437277,SRR13334647,SRR13334648,SRR13334649,SRR13334650,SRR6963352,SRR7048221,SRR7048223,SRR7048224,SRR7048225
results/aviary/target/20230619/p__Dictyoglomota	coassembly_6	metaspades	31449.4239	14.83	3541.15	111124.15	113006.79	SRR4236668,SRR4236669	2	25	29109000000.0	ERR1713369,ERR2607429,ERR2607430,ERR2607484,ERR2832478,ERR4682350,ERR4682436,SRR11674029,SRR11674034,SRR3654270,SRR4236668,SRR4236669,SRR4236673,SRR5007227,SRR5007245,SRR6800329
results/aviary/target/20230619/p__Dictyoglomota	coassembly_4	metaspades	42367.8959	2.32	3854.22	114580.38	115954.1	SRR4236673,SRR5007245	2	25	30979000000.0	ERR1713369,ERR2607429,ERR2607430,ERR2607484,ERR4682350,ERR4682436,SRR11674034,SRR3654270,SRR4236663,SRR4236668,SRR4236669,SRR4236673,SRR5007227,SRR5007245,SRR5007349,SRR6800329,SRR7082965,SRR8792666,SRR8925757
results/aviary/target/20230619/p__JANLFM01	coassembly_0	megahit	51983.257	29095.89	3830.19	31355.32	39460.6	SRR12676968,SRR7053514	2	36	27139000000.0	ERR4128915,ERR4128916,ERR4128917,SRR12594517,SRR12667318,SRR12676968,SRR12676969,SRR5450756,SRR5468517,SRR7053308,SRR7053310,SRR7053317,SRR7053514,SRR7053533,SRR7053535,SRR7053536,SRR7053538,SRR7053539
results/aviary/target/20230619/p__JAAXVQ01	coassembly_6	metaspades	105216.5262	3.17	3929.99	188454.34	190366.37	SRR10178537,SRR10178538	2	23	32779000000.0	ERR4510095,ERR4519278,ERR4519281,ERR4519283,ERR4519285,ERR4519286,ERR4519287,ERR4524288,ERR4524290,ERR4534291,ERR4539292,ERR4539293,ERR4539747,ERR4549758,ERR4549773,SRR10178537,SRR10178538,SRR9643735,SRR9643737,SRR9643738
results/aviary/target/20230619/p__JAAXVQ01	coassembly_9	metaspades	19703.0925	2.58	4005.86	91127.93	93066.42	ERR4519278,ERR4534291	2	23	15597000000.0	ERR4510095,ERR4519278,ERR4519281,ERR4519283,ERR4519285,ERR4519286,ERR4519287,ERR4524288,ERR4524290,ERR4534291,ERR4539292,ERR4539293,ERR4539747,ERR4549758,ERR4549773,SRR10178537,SRR10178538,SRR9643735,SRR9643737,SRR9643738
results/aviary/target/20230619/p__JAAXVQ01	coassembly_12	metaspades	27517.3575	6.18	3931.56	94559.03	96462.4	SRR13236726,SRR13236869	2	21	25298000000.0	ERR4515097,ERR4519283,ERR4519284,ERR4519285,ERR4519286,ERR4524289,ERR4539292,ERR4539294,ERR4549758,SRR10178537,SRR10178538,SRR11031528,SRR13225281,SRR13236656,SRR13236726,SRR13236869,SRR9643735,SRR9643736,SRR9643737,SRR9643738
results/aviary/target/20230619/p__JAAXVQ01	coassembly_5	metaspades	58434.451	23.89	4222.78	205692.98	208306.54	SRR9643735,SRR9643738	2	23	30915000000.0	ERR4510095,ERR4519278,ERR4519281,ERR4519283,ERR4519285,ERR4519286,ERR4519287,ERR4524288,ERR4524290,ERR4534291,ERR4539292,ERR4539293,ERR4539747,ERR4549758,ERR4549773,SRR10178537,SRR10178538,SRR9643735,SRR9643737,SRR9643738
results/aviary/target/20230619/p__JAAXVQ01	coassembly_7	metaspades	20722.3157	13.66	3929.58	90392.81	95390.25	ERR4539292,ERR4549758	2	23	16841000000.0	ERR4510095,ERR4519278,ERR4519281,ERR4519283,ERR4519285,ERR4519286,ERR4519287,ERR4524288,ERR4524290,ERR4534291,ERR4539292,ERR4539293,ERR4539747,ERR4549758,ERR4549773,SRR10178537,SRR10178538,SRR9643735,SRR9643737,SRR9643738
results/aviary/target/20230619/p__JAAXVQ01	coassembly_8	metaspades	19551.1797	8.55	3791.31	90956.89	94530.25	ERR4519286,ERR4539293	2	23	16155000000.0	ERR4510095,ERR4519278,ERR4519281,ERR4519283,ERR4519285,ERR4519286,ERR4519287,ERR4524288,ERR4524290,ERR4534291,ERR4539292,ERR4539293,ERR4539747,ERR4549758,ERR4549773,SRR10178537,SRR10178538,SRR9643735,SRR9643737,SRR9643738
results/aviary/target/20230619/p__UBP7	coassembly_0	metaspades	126256.0538	66.07	3277.68	394073.95	398117.76	SRR5007139,SRR5211068	2	28	49610000000.0	ERR598958,ERR598986,SRR2981519,SRR2981523,SRR5007138,SRR5007139,SRR5211068,SRR5720229,SRR5720254,SRR5788381,SRR5788467,SRR6056609,SRR8062327,SRR8062339,SRR8062345,SRR8062350,SRR8062353,SRR8503604,SRR8503608
results/aviary/target/20230619/p__Tectomicrobia	coassembly_1	metaspades	291060.5507	75.11	1135.37	392373.98	396620.91	SRR5747841,SRR5747861	2	25	28971000000.0	SRR12113387,SRR12113388,SRR12113414,SRR12113416,SRR12113417,SRR14373506,SRR14784326,SRR490148,SRR490149,SRR490925,SRR5215470,SRR5262249,SRR5262254,SRR5747841,SRR5747860,SRR5747861,SRR5918981,SRR5919204,SRR6395470,SRR7006882
results/aviary/target/20230619/p__Tectomicrobia	coassembly_4	megahit	129740.2178	31.63	10028.46	108868.21	113964.14	SRR10083321,SRR10083322	2	24	43249000000.0	SRR10083251,SRR10083321,SRR10083322,SRR12041865,SRR12041869,SRR12041871,SRR12041878,SRR12041879,SRR13614390,SRR13614400,SRR13646114,SRR13646116,SRR13646126,SRR13646128,SRR13646129,SRR13646130,SRR3970034,SRR5678933,SRR5678951,SRR5678954
results/aviary/target/20230619/p__Mcinerneyibacteriota	coassembly_5	metaspades	36364.1062	33.41	3593.45	203929.37	207145.8	SRR5112540,SRR5112541	2	20	22327000000.0	ERR1544586,SRR1750093,SRR1750094,SRR1750095,SRR1750097,SRR2043624,SRR2043627,SRR2043630,SRR2043631,SRR2657209,SRR2657625,SRR2657627,SRR2657962,SRR4236672,SRR5112540,SRR5112541,SRR5112542,SRR5112543,SRR5112544,SRR7428126
results/aviary/target/20230619/p__Mcinerneyibacteriota	coassembly_2	metaspades	53988.3748	26.45	3733.35	218734.11	226278.61	SRR5468419,SRR6056297	2	35	22550000000.0	SRR10375808,SRR11922363,SRR14023866,SRR14023877,SRR14023937,SRR14626311,SRR14626312,SRR14626313,SRR14699970,SRR5209942,SRR5209943,SRR5209944,SRR5209945,SRR5209946,SRR5210208,SRR5210216,SRR5468416,SRR5468419,SRR6056296,SRR6056297
results/aviary/target/20230619/p__JABMQX01	coassembly_0	metaspades	77043.7559	69.09	3620.32	433731.89	438839.22	ERR4334729,ERR4334730	2	38	41851000000.0	ERR3804373,ERR3804374,ERR3804375,ERR3804376,ERR3804377,ERR3804378,ERR4334725,ERR4334727,ERR4334728,ERR4334729,ERR4334730,ERR4334731,ERR4334732,ERR4334733,ERR4334734,ERR4334735,ERR4334736,SRR13674313,SRR4030042,SRR5272222
results/aviary/target/20230619/p__JABMQX01	coassembly_2	metaspades	52401.2676	1.71	3744.79	183142.84	185286.23	SRR9706179,SRR9707468	2	30	30039000000.0	SRR8556428,SRR8556611,SRR8556696,SRR8556769,SRR8557270,SRR9694931,SRR9700529,SRR9700625,SRR9700688,SRR9705674,SRR9705733,SRR9705735,SRR9705745,SRR9706179,SRR9707467,SRR9707468,SRR9707989,SRR9710038,SRR9710522,SRR9710702
results/aviary/target/20230619/p__CLD3	coassembly_2	metaspades	45328.8079	41.48	3916.61	215075.57	217839.94	SRR10064596,SRR9733724	2	34	25624000000.0	SRR10064596,SRR12262941,SRR12262942,SRR12262943,SRR12262944,SRR12262945,SRR12262946,SRR12262947,SRR12336882,SRR13077469,SRR14610251,SRR14932511,SRR14932539,SRR14932586,SRR14932587,SRR14932588,SRR5266476,SRR7164320,SRR7164322,SRR9733724
results/aviary/target/20230619/p__NPL-UPA2	coassembly_1	metaspades	18320.0831	2.45	3776.34	91184.87	99174.25	SRR9822616,SRR9822619	2	111	12317000000.0	SRR9822614,SRR9822615,SRR9822616,SRR9822617,SRR9822619
results/aviary/target/20230619/p__Auribacterota	coassembly_0	metaspades	35908.568	24.22	3993.44	167945.92	171641.8	SRR6476076,SRR8476420	2	22	32646000000.0	ERR1414235,SRR11088395,SRR11088474,SRR15237810,SRR15237811,SRR3330204,SRR3330207,SRR3330210,SRR3330212,SRR4236666,SRR5007219,SRR5007225,SRR5007357,SRR6476074,SRR6476076,SRR8476420,SRR8584358,SRR8925802,SRR9643736,SRR9643738
results/aviary/target/20230619/p__CSSED10-310	coassembly_0	metaspades	59423.1662	59.22	3524.3	338394.99	342756.93	ERR4682910,SRR8925811	2	36	32468000000.0	ERR4678636,ERR4682867,ERR4682910,SRR11702770,SRR12132972,SRR15558361,SRR15558365,SRR15558366,SRR8925714,SRR8925717,SRR8925718,SRR8925721,SRR8925752,SRR8925753,SRR8925768,SRR8925785,SRR8925790,SRR8925801,SRR8925810,SRR8925811
results/aviary/target/20230619/p__CSSED10-310	coassembly_1	metaspades	46470.6617	3.11	3869.19	173547.54	177250.16	SRR8925752,SRR8925753	2	34	43013000000.0	ERR4678636,ERR4682867,ERR4682910,SRR11702770,SRR12132972,SRR15558361,SRR15558365,SRR15558366,SRR8925714,SRR8925717,SRR8925718,SRR8925721,SRR8925752,SRR8925753,SRR8925768,SRR8925785,SRR8925790,SRR8925801,SRR8925810,SRR8925811
results/aviary/target/20230619/p__PUNC01	coassembly_3	metaspades	14685.1547	13.33	3728.24	86205.36	90303.88	SRR7528417,SRR7528923	2	67	8697000000.0	SRR5458846,SRR5458848,SRR5459186,SRR5459190,SRR5581653,SRR7527651,SRR7528378,SRR7528416,SRR7528417,SRR7528420,SRR7528474,SRR7528803,SRR7528875,SRR7528920,SRR7528923,SRR7529027,SRR7529184,SRR7529407,SRR7529408,SRR8526173
results/aviary/target/20230619/p__PUNC01	coassembly_2	metaspades	14652.24	16.14	3666.96	88144.86	94275.54	SRR7529407,SRR7529408	2	70	9102000000.0	SRR5458846,SRR5458848,SRR5459186,SRR5459190,SRR5581653,SRR7527651,SRR7528378,SRR7528416,SRR7528417,SRR7528420,SRR7528474,SRR7528803,SRR7528875,SRR7528920,SRR7528923,SRR7529027,SRR7529184,SRR7529407,SRR7529408,SRR8526173
results/aviary/target/20230619/p__UBA6262	coassembly_0	metaspades	487401.9844	45.06	977.89	468143.23	470180.53	SRR5215464,SRR5215466	2	21	35620000000.0	SRR11567489,SRR5215464,SRR5215466,SRR8539650
results/aviary/phylum_2sample/20230718/SRP269290	coassembly_0	metaspades	24206.287	6.04	3811.48	164202.27	165170.89	SRR12113420,SRR12113424	2	37	29038999999.0	SRR12113386,SRR12113401,SRR12113418,SRR12113419,SRR12113420,SRR12113421,SRR12113422,SRR12113424,SRR12113425,SRR12113426,SRR12113428,SRR12113429,SRR12113430,SRR12113431,SRR12113432,SRR12113433
results/aviary/phylum_2sample/20230718/SRP110325	coassembly_0	metaspades	12.8594	0.7	54.05	48.32	107.48	SRR5753868,SRR5753874	2	30	49880000000.0	SRR5753867,SRR5753868,SRR5753872,SRR5753873,SRR5753874,SRR5753876,SRR5753878
results/aviary/phylum_2sample/20230718/SRP110325	coassembly_1	metaspades	28652.4124	29.61	5248.05	101448.52	115089.96	SRR5753876,SRR5753878	2	26	48892000000.0	SRR5753868,SRR5753875,SRR5753876,SRR5753877,SRR5753878,SRR5753880
results/aviary/phylum_2sample/20230718/SRP219642	coassembly_0	metaspades	49468.0976	31.46	3338.37	299569.0	304288.06	SRR10036018,SRR10036035	2	26	36053000000.0	SRR10036018,SRR10036030,SRR10036033,SRR10036034,SRR10036035,SRR10036037,SRR10036039,SRR10036040,SRR10036041,SRR10036042,SRR10036043,SRR10036046,SRR10036054,SRR10036055,SRR10036056,SRR10036058,SRR10036059,SRR10036063,SRR10036064,SRR10036065
results/aviary/phylum_2sample/20230718/SRP231805	coassembly_0	metaspades	53453.0018	33.7	3427.7	298180.7	301603.91	SRR5215464,SRR5215466	2	26	35620000000.0	SRR5215464,SRR5215466
results/aviary/phylum_2sample/20230718/ERP119705	coassembly_0	metaspades	59764.0559	64.25	3731.07	350045.72	353645.21	ERR3858116,ERR3858118	2	38	33998000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858116,ERR3858117,ERR3858118,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858133,ERR3858134,ERR3858135,ERR3858136,ERR3858137,ERR3858138
results/aviary/phylum_2sample/20230718/ERP119705	coassembly_3	metaspades	41200.6067	16.81	3404.25	179183.18	182056.01	ERR3858111,ERR3858129	2	28	38780000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858127,ERR3858128,ERR3858129,ERR3858130,ERR3858131,ERR3858132,ERR3858134,ERR3858136,ERR3858137
results/aviary/phylum_2sample/20230718/ERP119705	coassembly_2	metaspades	43136.579	17.74	3838.08	192952.01	193414.25	ERR3858110,ERR3858112	2	32	33710000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858117,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858127,ERR3858128,ERR3858129,ERR3858130,ERR3858131,ERR3858132,ERR3858136,ERR3858137
results/aviary/phylum_2sample/20230718/ERP119705	coassembly_1	metaspades	66925.1972	51.01	3556.46	352803.51	357417.89	ERR3858113,ERR3858115	2	35	33895000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858117,ERR3858118,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858129,ERR3858130,ERR3858131,ERR3858132,ERR3858135,ERR3858136,ERR3858137
results/aviary/phylum_2sample/20230718/SRP124282	coassembly_0	metaspades	36021.9279	3.19	3931.3	303004.89	305892.95	SRR6261449,SRR6943131	2	26	27103000000.0	SRR6261449,SRR6261450,SRR6261451,SRR6943129,SRR6943131,SRR6943132
results/aviary/phylum_2sample/20230815/SRP269290	coassembly_0	metaspades	26958.5388	21.36	3744.08	171724.89	175227.82	SRR12113420,SRR12113424	2	37	29038999999.0	SRR12113386,SRR12113401,SRR12113418,SRR12113419,SRR12113420,SRR12113421,SRR12113422,SRR12113424,SRR12113425,SRR12113426,SRR12113428,SRR12113429,SRR12113430,SRR12113431,SRR12113432,SRR12113433
results/aviary/phylum_2sample/20230815/SRP110325	coassembly_0	megahit	149646.5671	5.34	2346.62	90842.02	104400.05	SRR5753868,SRR5753874	2	30	49880000000.0	SRR5753867,SRR5753868,SRR5753872,SRR5753873,SRR5753874,SRR5753876,SRR5753878
results/aviary/phylum_2sample/20230815/SRP110325	coassembly_1	megahit	168572.9326	7.4	2379.78	95900.67	98600.32	SRR5753876,SRR5753878	2	26	48892000000.0	SRR5753868,SRR5753875,SRR5753876,SRR5753877,SRR5753878,SRR5753880
results/aviary/phylum_2sample/20230815/SRP219642	coassembly_0	metaspades	59974.0414	9.63	3595.46	307984.96	311769.19	SRR10036018,SRR10036035	2	26	36053000000.0	SRR10036018,SRR10036030,SRR10036033,SRR10036034,SRR10036035,SRR10036037,SRR10036039,SRR10036040,SRR10036041,SRR10036042,SRR10036043,SRR10036046,SRR10036054,SRR10036055,SRR10036056,SRR10036058,SRR10036059,SRR10036063,SRR10036064,SRR10036065
results/aviary/phylum_2sample/20230815/SRP231805	coassembly_0	metaspades	50539.8616	26.99	3269.02	299279.55	301456.01	SRR5215464,SRR5215466	2	26	35620000000.0	SRR5215464,SRR5215466
results/aviary/phylum_2sample/20230815/ERP119705	coassembly_0	metaspades	60799.4075	48.84	3761.03	349817.35	354782.23	ERR3858116,ERR3858118	2	38	33998000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858116,ERR3858117,ERR3858118,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858133,ERR3858134,ERR3858135,ERR3858136,ERR3858137,ERR3858138
results/aviary/phylum_2sample/20230815/ERP119705	coassembly_3	metaspades	53481.1619	19.47	3647.21	182953.45	185249.27	ERR3858111,ERR3858129	2	28	38780000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858127,ERR3858128,ERR3858129,ERR3858130,ERR3858131,ERR3858132,ERR3858134,ERR3858136,ERR3858137
results/aviary/phylum_2sample/20230815/ERP119705	coassembly_2	metaspades	43449.7283	18.7	3803.51	195056.05	195530.5	ERR3858110,ERR3858112	2	32	33710000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858117,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858127,ERR3858128,ERR3858129,ERR3858130,ERR3858131,ERR3858132,ERR3858136,ERR3858137
results/aviary/phylum_2sample/20230815/ERP119705	coassembly_1	metaspades	67770.4403	1.62	3754.03	355992.35	359249.97	ERR3858113,ERR3858115	2	35	33895000000.0	ERR3858110,ERR3858111,ERR3858112,ERR3858113,ERR3858114,ERR3858115,ERR3858117,ERR3858118,ERR3858119,ERR3858120,ERR3858121,ERR3858122,ERR3858126,ERR3858129,ERR3858130,ERR3858131,ERR3858132,ERR3858135,ERR3858136,ERR3858137
results/aviary/phylum_2sample/20230815/SRP124282	coassembly_0	metaspades	36189.9809	5.15	4026.38	302162.44	306247.63	SRR6261449,SRR6943131	2	26	27103000000.0	SRR6261449,SRR6261450,SRR6261451,SRR6943129,SRR6943131,SRR6943132
results/aviary/genus_2sample/20230908/SRP178699	coassembly_0	metaspades	38394.6006	1429781.72	3715.03	194737.91	197231.97	SRR8437217,SRR8437287	2	2084	26543000000.0	SRR8437217,SRR8437218,SRR8437243,SRR8437244,SRR8437245,SRR8437246,SRR8437247,SRR8437272,SRR8437273,SRR8437274,SRR8437275,SRR8437277,SRR8437278,SRR8437279,SRR8437287
results/aviary/genus_2sample/20230908/SRP141376	coassembly_0	metaspades	25236.1925	870954.28	3440.64	151273.94	153607.5	SRR7048218,SRR7048220	2	2371	25826000000.0	SRR15699983,SRR7048218,SRR7048219,SRR7048220,SRR7048221,SRR7048222,SRR7048223,SRR7048224,SRR7048225,SRR7048226,SRR7048227,SRR7048228
results/aviary/genus_2sample/20230908/SRP141376	coassembly_1	metaspades	26904.5322	988191.29	3661.07	159770.42	162421.96	SRR7048226,SRR7048227	2	2099	25173000000.0	SRR15699983,SRR7048218,SRR7048219,SRR7048220,SRR7048221,SRR7048222,SRR7048223,SRR7048224,SRR7048225,SRR7048226,SRR7048227,SRR7048228
